21,Romania,ROU,0,51,-10,0,0,0,0,0,0,0,0,UEFA,1993-08-08
22,Uruguay,URU,0,47,-6,0,0,0,0,0,0,0,0,CONMEBOL,1993-08-08
23,Portugal,POR,0,38,10,0,0,0,0,0,0,0,0,UEFA,1993-08-08
24,Cameroon,CMR,0,43,-2,0,0,0,0,0,0,0,0,CAF,1993-08-08
25,Zambia,ZAM,0,38,7,0,0,0,0,0,0,0,0,CAF,1993-08-08
26,Egypt,EGY,0,44,-5,0,0,0,0,0,0,0,0,CAF,1993-08-08
27,Wales,WAL,0,40,1,0,0,0,0,0,0,0,0,UEFA,1993-08-08
28,USA,USA,0,43,-4,0,0,0,0,0,0,0,0,CONCACAF,1993-08-08
29,Côte d'Ivoire,CIV,0,41,-2,0,0,0,0,0,0,0,0,CAF,1993-08-08
30,Scotland,SCO,0,43,-7,0,0,0,0,0,0,0,0,UEFA,1993-08-08
31,Tunisia,TUN,0,35,7,0,0,0,0,0,0,0,0,CAF,1993-08-08
32,Greece,GRE,0,38,-1,0,0,0,0,0,0,0,0,UEFA,1993-08-08
33,Morocco,MAR,0,32,8,0,0,0,0,0,0,0,0,CAF,1993-08-08
34,Algeria,ALG,0,38,-4,0,0,0,0,0,0,0,0,CAF,1993-08-08
35,Ecuador,ECU,0,23,30,0,0,0,0,0,0,0,0,CONMEBOL,1993-08-08
36,Korea Republic,KOR,0,27,13,0,0,0,0,0,0,0,0,AFC,1993-08-08
37,Bulgaria,BUL,0,41,-11,0,0,0,0,0,0,0,0,UEFA,1993-08-08
38,Austria,AUT,0,38,-4,0,0,0,0,0,0,0,0,UEFA,1993-08-08
39,Costa Rica,CRC,0,35,-2,0,0,0,0,0,0,0,0,CONCACAF,1993-08-08
40,Northern Ireland,NIR,0,31,3,0,0,0,0,0,0,0,0,UEFA,1993-08-08
