1,Germany,GER,0,57,0,0,0,0,0,0,0,0,0,UEFA,1993-08-08
2,Italy,ITA,0,57,0,0,0,0,0,0,0,0,0,UEFA,1993-08-08
3,Switzerland,SUI,0,50,9,0,0,0,0,0,0,0,0,UEFA,1993-08-08
4,Sweden,SWE,0,55,0,0,0,0,0,0,0,0,0,UEFA,1993-08-08
5,Argentina,ARG,0,51,5,0,0,0,0,0,0,0,0,CONMEBOL,1993-08-08
6,Republic of Ireland,IRL,0,54,0,0,0,0,0,0,0,0,0,UEFA,1993-08-08
7,Russia,RUS,0,52,1,0,0,0,0,0,0,0,0,UEFA,1993-08-08
8,Brazil,BRA,0,55,-5,0,0,0,0,0,0,0,0,CONMEBOL,1993-08-08
9,Norway,NOR,0,49,5,0,0,0,0,0,0,0,0,UEFA,1993-08-08
10,Denmark,DEN,0,51,-1,0,0,0,0,0,0,0,0,UEFA,1993-08-08
11,England,ENG,0,55,-6,0,0,0,0,0,0,0,0,UEFA,1993-08-08
12,France,FRA,0,45,7,0,0,0,0,0,0,0,0,UEFA,1993-08-08
13,Spain,ESP,0,49,2,0,0,0,0,0,0,0,0,UEFA,1993-08-08
14,Mexico,MEX,0,42,11,0,0,0,0,0,0,0,0,CONCACAF,1993-08-08
15,RCS,TCH,0,47,3,0,0,0,0,0,0,0,0,UEFA,1993-08-08
16,Netherlands,NED,0,53,-9,0,0,0,0,0,0,0,0,UEFA,1993-08-08
17,Nigeria,NGA,0,49,-4,0,0,0,0,0,0,0,0,CAF,1993-08-08
18,Belgium,BEL,0,47,-1,0,0,0,0,0,0,0,0,UEFA,1993-08-08
19,Colombia,COL,0,36,16,0,0,0,0,0,0,0,0,CONMEBOL,1993-08-08
20,Poland,POL,0,45,0,0,0,0,0,0,0,0,0,UEFA,1993-08-08
